	CR	SK	TP	OV745	OV745_1	OV745_2	OV745_3
K02689	0.012338063	0.021181953	0.015461925	0.003311807	0.0057586	0.00384988	0.005670799
K02690	0.006169031	0.016945562	0.015461925	0.003311807	0.004798833	0.003208234	0.004536639
K02691	0.012338063	0.008472781	0.007730963	0.003311807	0.0028793	0.00192494	0.00226832
K02692	0.012338063	0.004236391	0	0	0.0028793	0.00192494	0.00113416
K02693	0.024676126	0.021181953	0.019327406	0.003311807	0.003839066	0.003208234	0.00226832
K02694	0.018507094	0.004236391	0.003865481	0	0.004798833	0.00192494	0.00226832
K02695	0	0	0	0	0	0	0
K02696	0	0.008472781	0.003865481	0	0.0057586	0.004491527	0.003402479
K02697	0.006169031	0.004236391	0	0	0.0057586	0.003208234	0.003402479
K02698	0.012338063	0.033891125	0.019327406	0.003311807	0.007678133	0.00577482	0.003402479
K02699	0.024676126	0.012709172	0.011596444	0	0.0057586	0.00577482	0.005670799
K02700	0.024676126	0.008472781	0.011596444	0	0.0028793	0.00192494	0.00226832
K08905	0	0	0	0	0	0	0
K14332	0	0	0	0	0	0	0
K02703	0.037014189	0.029654734	0.038654813	0	0.008637899	0.007699761	0.003402479
K02704	0.018507094	0.008472781	0.011596444	0.003311807	0.006718366	0.007058114	0.006804959
K02705	0.055521283	0.042363906	0.054116738	0	0.010557432	0.007699761	0.005670799
K02706	0.006169031	0.008472781	0.007730963	0.006623613	0.004798833	0.002566587	0.003402479
K02707	0.012338063	0.016945562	0.019327406	0	0.0028793	0.003208234	0.00226832
K02708	0.012338063	0.012709172	0.019327406	0	0.003839066	0.003208234	0.003402479
K02709	0.012338063	0.012709172	0.011596444	0	0.003839066	0.003208234	0.00226832
K02710	0.012338063	0.008472781	0.007730963	0	0.000959767	0.00192494	0.00113416
K02711	0.006169031	0.004236391	0.007730963	0	0.001919533	0.00192494	0.00113416
K02712	0.006169031	0.004236391	0.003865481	0	0.001919533	0.003208234	0.00226832
K02713	0.006169031	0.004236391	0.007730963	0	0.001919533	0.00192494	0.00226832
K02714	0.024676126	0.008472781	0.007730963	0.006623613	0.0028793	0.00192494	0.003402479
K02715	0.012338063	0.008472781	0.003865481	0	0.003839066	0.002566587	0.00226832
K02716	0.006169031	0.004236391	0.007730963	0	0.0057586	0.003208234	0.003402479
K02717	0.012338063	0.008472781	0.015461925	0	0.001919533	0.00192494	0.00113416
K02718	0.012338063	0.004236391	0.007730963	0.003311807	0.003839066	0.00384988	0.00113416
K02719	0.006169031	0	0	0	0.003839066	0.00384988	0.00113416
K02720	0.012338063	0.004236391	0.003865481	0	0.0057586	0.003208234	0.006804959
K02721	0	0	0	0	0	0	0
K02722	0.006169031	0.008472781	0.003865481	0	0.000959767	0.00192494	0
K02723	0.006169031	0.004236391	0.015461925	0.00993542	0.0028793	0.00192494	0.00226832
K02724	0.018507094	0.008472781	0.003865481	0	0.0028793	0.00192494	0.00226832
K03541	0	0	0	0	0	0	0
K03542	0	0	0	0	0	0	0
K08901	0	0	0	0	0	0	0
K08902	0	0.012709172	0.007730963	0	0.003839066	0.002566587	0.00226832
K08903	0	0.021181953	0.023192888	0	0.001919533	0.00192494	0.00113416
K08904	0	0	0.003865481	0	0.0028793	0.001283293	0.00226832
K02634	0.024676126	0.016945562	0.015461925	0	0.001919533	0.002566587	0.00226832
K02635	0.006169031	0.004236391	0.003865481	0.003311807	0.001919533	0.00192494	0
K02636	0.018507094	0.025418344	0.027058369	0	0.003839066	0.004491527	0.003402479
K02637	0.006169031	0.008472781	0.007730963	0.006623613	0.001919533	0.002566587	0
K02640	0.006169031	0.004236391	0.007730963	0	0.000959767	0.00192494	0
K03689	0	0	0	0	0.000959767	0	0
K02642	0.018507094	0.008472781	0	0	0.000959767	0.00192494	0.003402479
K02643	0.006169031	0.004236391	0.003865481	0	0.000959767	0.001283293	0
K02638	0.012338063	0.008472781	0.007730963	0.003311807	0.001919533	0.00192494	0.00226832
K02639	0.061690315	0.029654734	0.027058369	0.00993542	0.011517199	0.007699761	0.009073278
K02641	0.006169031	0.012709172	0.019327406	0.003311807	0.003839066	0.003208234	0.00226832
K08906	0.037014189	0.025418344	0.019327406	0.003311807	0.009597666	0.005133174	0.006804959
K02092	0.012338063	0.008472781	0.007730963	0	0.001919533	0.001283293	0.003402479
K02093	0.018507094	0.012709172	0.019327406	0	0.0057586	0.002566587	0.006804959
K02094	0.006169031	0.004236391	0.003865481	0	0.001919533	0.001283293	0.003402479
K02095	0.018507094	0.016945562	0.023192888	0.006623613	0.006718366	0.003208234	0.004536639
K02096	0.012338063	0.012709172	0.011596444	0	0.003839066	0.002566587	0.00226832
K02097	0.012338063	0.004236391	0.003865481	0.003311807	0.003839066	0.002566587	0.00226832
K02284	0.012338063	0.008472781	0.007730963	0	0.0028793	0.00192494	0.003402479
K02285	0.012338063	0.008472781	0.007730963	0	0.0028793	0.00192494	0.003402479
K02286	0	0.021181953	0.019327406	0	0.003839066	0.00192494	0.005670799
K02287	0	0	0	0	0.0028793	0.001283293	0.00226832
K02288	0.012338063	0.004236391	0.003865481	0	0.003839066	0.00192494	0.00226832
K02289	0.006169031	0.008472781	0.003865481	0	0.0028793	0.003208234	0.00113416
K02290	0.024676126	0.012709172	0.007730963	0.003311807	0.006718366	0.00384988	0.003402479
K02628	0	0	0	0	0.000959767	0.000641647	0
K02629	0	0	0	0	0.000959767	0.000641647	0
K02630	0	0	0	0	0.000959767	0.000641647	0
K02631	0	0	0	0	0	0	0
K02632	0	0	0	0	0.000959767	0.000641647	0
K05376	0.012338063	0.012709172	0.011596444	0.003311807	0	0.00192494	0.00113416
K05377	0.012338063	0.012709172	0.011596444	0.003311807	0	0.00192494	0.00113416
K05378	0.006169031	0.008472781	0.003865481	0.003311807	0	0.001283293	0.00113416
K05379	0.006169031	0.008472781	0.003865481	0.003311807	0	0.000641647	0.00113416
K05380	0	0	0	0	0	0	0
K05381	0.006169031	0.008472781	0	0.003311807	0	0.000641647	0.00113416
K05382	0.049352252	0.033891125	0.027058369	0.00993542	0.003839066	0.005133174	0.00226832
K05383	0.012338063	0.012709172	0.003865481	0.003311807	0.0028793	0.00192494	0
K05384	0.012338063	0.012709172	0.007730963	0.003311807	0	0.001283293	0
K05385	0.012338063	0.012709172	0.007730963	0.003311807	0	0.001283293	0.00113416
K05386	0.012338063	0.012709172	0.011596444	0.003311807	0	0.00192494	0.00113416
K14084	0	0	0	0	0	0	0
K00317	0	0.004236391	0.003865481	0.003311807	0	0.000641647	0.00113416
K14083	0	0.025418344	0.023192888	0.013247226	0.003839066	0.008983054	0.006804959
K14471	0	0	0	0	0	0	0
K14470	0	0	0	0	0	0.000641647	0
K07516	0	0	0	0.003311807	0	0.000641647	0.00226832
K14468	0	0	0	0	0	0	0
K14469	0	0	0	0	0.000959767	0	0
K09709	0	0	0	0	0	0.000641647	0.00113416
K14465	0	0	0	0	0	0	0
K01673	0.037014189	0.025418344	0.03092385	0.026494453	0.025913698	0.027590809	0.028353994
K01674	0	0	0.003865481	0	0.000959767	0.000641647	0
K01743	0.006169031	0.004236391	0.003865481	0	0.000959767	0.00192494	0
K03518	0	0	0.003865481	0.003311807	0.001919533	0.00384988	0.005670799
K03519	0	0	0	0	0	0.003208234	0.00113416
K03520	0	0	0.003865481	0	0.000959767	0.001283293	0.00226832
K01480	0.018507094	0.012709172	0.019327406	0.006623613	0.0057586	0.009624701	0.007939118
K04480	0	0	0	0	0.000959767	0.000641647	0
K00320	0	0	0	0	0.000959767	0.000641647	0
K00200	0	0	0	0	0	0	0
K00201	0	0	0	0	0	0	0
K00202	0	0	0	0	0	0	0
K00203	0	0	0	0	0	0	0
K00205	0	0	0	0	0	0	0
K11260	0	0	0	0	0	0	0
K11261	0	0	0	0	0.0028793	0.010907994	0.006804959
K00672	0	0	0	0	0	0	0
K00288	0	0	0	0	0	0	0
K00319	0	0	0	0	0	0	0
K10713	0	0	0	0	0	0	0
K00577	0	0	0	0	0	0	0
